,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,57.4 +- 1.2,72.2 +- 1.0,57.4 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_2_2,8.8 +- 0.8,15.2 +- 1.3,8.7 +- 0.8,94.0 +- 2.5,0.3 +- 0.6
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_HRV_0,31.5 +- 1.4,46.3 +- 1.6,51.0 +- 2.4,54.0 +- 2.3,84.8 +- 1.7
CNN_20_HRV_1,57.0 +- 1.5,71.4 +- 1.4,68.1 +- 1.4,79.1 +- 1.9,50.6 +- 2.0
CNN_20_HRV_2,0.1 +- 0.1,0.2 +- 0.1,4.1 +- 1.9,0.1 +- 0.1,100.0 +- 0.0
